,LIRF,LTFM,OMDB,ZSPD,MMMX,EDDF,LEMD,CYYZ,EDDT,SBGL,VIDP,KJFK,EDDM,SAEZ,ZBAA,LFPG,CYVR,RJAA,EHEH,BIKF,LPPT,FACT,LFQQ,LDZA,EBBR,LKPR,EFRO,ESSA,EIDW,EFHK,EETN,LGAV,EGPH
LPPT,1838.6369514241565,3211.7174335800105,6137.549256169119,10730.78496714352,8664.536583495246,1873.84706028188,512.8845584370001,5739.078245285105,2302.6857424820937,7714.979604082941,7767.803301105655,5404.309620041176,1983.6079398270863,9632.30052917482,9657.682879314776,1469.9632862919395,8288.503867714651,11153.913596141403,1804.6765643174188,2942.307926147029,0.0,8579.965571388671,1624.5352370256298,2202.428641890457,1717.441913766903,2228.9079544309607,3783.3341214037023,2998.3052371348076,1642.4746695558613,3363.876975912895,3307.6755735702613,2870.399397724636,1956.1303624433278
FACT,8447.492147870096,8429.362191332484,7644.498781549268,12989.53522682959,13711.343976959879,9393.055953949077,8584.107113717999,13136.631844292497,9635.66209352229,6087.871598998781,9282.845350520629,12560.803274067739,9179.18835595483,6886.082041979985,12967.734897763023,9363.399547331674,16465.20953208748,14780.473523154042,9586.034315842975,11472.045420118653,8579.965571388671,0.0,9522.742717702058,8867.258411800965,9538.261583682088,9358.288777530079,11195.351682199891,10410.637422820557,10009.776088175524,10500.580656352362,10399.864784061421,8014.8303514408435,10213.775685686389
LFQQ,1202.6733084178702,2221.5840343980844,5233.556863398388,9123.256093925884,9172.519686277623,392.7983156454291,1235.5813496072453,5973.892370679363,737.3544487142678,9339.141101101264,6501.080434257892,5807.873795019511,673.6101624423094,11246.712767060582,8042.99692176469,177.29972762352907,7804.029472119836,9543.069153437295,187.09147772320674,2102.4846976713584,1624.5352370256298,9522.742717702058,0.0,1099.1833149167103,104.17464565809286,793.0800262284977,2186.4196889276245,1375.4704625714714,715.1697675357511,1739.9740827336304,1686.475455041425,2161.2853740484825,736.7464462666057
LDZA,537.5358486485911,1135.558870168953,4162.586440529364,8670.244773563427,10270.57949825156,734.44155732098,1692.5382745319923,7071.777341214486,784.5721209488278,9684.845164511811,5589.209484397878,6905.329783235579,435.372805823521,11662.142744355435,7637.516242212898,1079.12295434704,8746.620493868128,9373.225157229546,1008.7302268245519,3094.6660800724226,2202.428641890457,8867.258411800965,1099.1833149167103,0.0,1028.9384999379752,503.18469523171706,2385.7771646126907,1551.7236859844388,1812.1546193462373,1722.928893753889,1628.0765988832688,1084.793589115557,1764.554368661314
EBBR,1175.0465897459446,2141.818322400416,5147.156165772344,9024.973770238224,9248.791253224706,304.70667836915743,1315.552739483112,6043.2341631455665,633.1798423077714,9432.38980302497,6399.817544030502,5885.3697807968165,596.828250612871,11343.810900959297,7945.907748157385,251.42649654422516,7827.183480204533,9457.890709909856,87.26507901126318,2128.9170434945413,1717.441913766903,9538.261583682088,104.17464565809286,1028.9384999379752,0.0,696.6701556393344,2109.419990192777,1287.8123921554281,784.4652218415466,1646.5424706420476,1590.7996147657782,2101.487122926399,764.8529460052239
LKPR,939.0896343890475,1489.3589955451396,4463.278821580964,8520.514010353765,9907.578033808217,406.27801971921986,1750.6615229202562,6682.817209516884,281.576913555292,9879.080082772547,5714.970423703678,6550.828678253268,264.80111614065527,11830.92337423204,7461.550939385754,852.6058359792816,8252.779547259795,9102.009097801203,642.0340692834425,2628.101221542469,2228.9079544309607,9358.288777530079,793.0800262284977,503.18469523171706,696.6701556393344,0.0,1942.94896284112,1086.9490092945773,1454.9163652752302,1319.6263258874899,1234.036333291913,1555.754332455913,1341.4084262122346
EFRO,2879.518914006426,2818.8505107888336,5027.306459147683,7111.796723483437,9429.19591909452,2079.668281738598,3422.0000222935455,6243.416783834656,1701.8548750228817,11451.376242794004,5439.118104243794,6318.434484589655,2179.5591456309016,13282.900559270385,6013.908578937793,2358.800861619531,6878.634761429539,7370.85294938375,2026.9394149057935,2177.0499490729367,3783.3341214037023,11195.351682199891,2186.4196889276245,2385.7771646126907,2109.419990192777,1942.94896284112,0.0,863.3297003586031,2262.6890021087634,695.2573510545288,795.9448462888196,3184.843224387242,1927.0385770142573
ESSA,2026.0100284147838,2177.481833179683,4784.718435844448,7780.26414951412,9555.32776316363,1222.987175365273,2601.3493707511634,6311.706893929508,838.7723740907484,10709.342326685113,5583.875141564338,6291.593874633475,1317.3110466843007,12598.548940741373,6691.864080722933,1539.1555178390888,7411.6744673739295,8170.395509786672,1201.790094986564,2109.0743457943413,2998.3052371348076,10410.637422820557,1375.4704625714714,1551.7236859844388,1287.8123921554281,1086.9490092945773,863.3297003586031,0.0,1624.7526881721867,398.5689357775947,389.62412735087645,2452.3533525122343,1320.2510546542144
EIDW,1887.877045473529,2924.4683551417634,5918.191105076748,9364.445984146492,8465.097546487645,1086.8940196113897,1454.225118962622,5259.66456365284,1308.440821698761,9192.749867185408,7074.36258815461,5102.730002183939,1381.2860601870107,11025.405820274522,8268.747197889683,784.9693369031335,7164.329817709851,9590.00408587783,818.4419646564614,1486.395041095137,1642.4746695558613,10009.776088175524,715.1697675357511,1812.1546193462373,784.4652218415466,1454.9163652752302,2262.6890021087634,1624.7526881721867,0.0,2023.288540062737,2002.9192181397093,2875.9209801847924,337.2039534199319
EFHK,2236.527853659462,2134.8799157182702,4537.025110362885,7393.997300475772,9830.89999106367,1537.9389925099097,2947.4320721225527,6598.71606358994,1118.8430222369009,11078.85214073269,5223.847444426262,6606.914800539541,1574.5399279099283,12981.387744901565,6308.537771925007,1895.5582344575273,7505.149627195536,7828.74735963798,1559.3618854820566,2409.583253800543,3363.876975912895,10500.580656352362,1739.9740827336304,1722.928893753889,1646.5424706420476,1319.6263258874899,695.2573510545288,398.5689357775947,2023.288540062737,0.0,100.72063567001045,2489.6794411140104,1717.6968421996937
EETN,2144.7432662773303,2037.0282863908224,4471.733222742804,7439.701976930367,9887.012309094367,1467.8755620952131,2883.3149200833927,6650.662663103135,1043.7146044590377,11021.75343361116,5200.6264450305825,6649.356410602336,1491.5970050572942,12932.640473630083,6357.094712899396,1837.8392888325443,7595.2331088364135,7898.436176812024,1503.538739642221,2454.7484880957145,3307.6755735702613,10399.864784061421,1686.475455041425,1628.0765988832688,1590.7996147657782,1234.036333291913,795.9448462888196,389.62412735087645,2002.9192181397093,100.72063567001045,0.0,2389.0689513250063,1705.517234342453
LGAV,1085.5162109803623,552.3631359390542,3271.3092464029237,8557.446927892031,11295.07456624003,1815.8370182307754,2377.4313326404604,8127.399159836934,1823.2230335509435,9730.98460712888,4983.851376266188,7932.455806289573,1517.8783303811158,11725.05562218717,7607.430542904929,2108.8935232724316,9800.56504320369,9532.669034889863,2089.016063229445,4176.891888856657,2870.399397724636,8014.8303514408435,2161.2853740484825,1084.793589115557,2101.487122926399,1555.754332455913,3184.843224387242,2452.3533525122343,2875.9209801847924,2489.6794411140104,2389.0689513250063,0.0,2848.2113604641363
EGPH,1936.9351306841388,2830.767342771072,5776.784700011543,9032.685343726816,8573.011598267407,1032.8584656977316,1721.1421621023853,5342.430556810266,1142.604257606154,9529.814395113926,6836.246415386642,5224.818687727301,1330.3366233869128,11358.623493704585,7936.25672217657,868.6768639079258,7067.373027293543,9254.53199963534,761.9890447440483,1366.1622281126076,1956.1303624433278,10213.775685686389,736.7464462666057,1764.554368661314,764.8529460052239,1341.4084262122346,1927.0385770142573,1320.2510546542144,337.2039534199319,1717.6968421996937,1705.517234342453,2848.2113604641363,0.0
