,LIMC,LFPG,ZSPD,LEMD,RJAA,SAEZ,KJFK,CYYZ,SBGL,MMMX,EDDM,OMDB,EDDT,EDDF,CYVR,VIDP,LTFM,ZBAA,EBBR,EFRO,EGPH,EFHK,LKPR,LFQQ,BIKF,LDZA,ESSA,EIDW,LGAV,FACT,EHEH,LPPT,EETN
EGPH,1423.7549912527588,868.6768639079258,9032.685343726816,1721.1421621023853,9254.53199963534,11358.623493704585,5224.818687727301,5342.430556810266,9529.814395113926,8573.011598267407,1330.3366233869128,5776.784700011543,1142.604257606154,1032.8584656977316,7067.373027293543,6836.246415386642,2830.767342771072,7936.25672217657,764.8529460052239,1927.0385770142573,0.0,1717.6968421996937,1341.4084262122346,736.7464462666057,1366.1622281126076,1764.554368661314,1320.2510546542144,337.2039534199319,2848.2113604641363,10213.775685686389,761.9890447440483,1956.1303624433278,1705.517234342453
EFHK,1951.0929540754787,1895.5582344575273,7393.997300475772,2947.4320721225527,7828.74735963798,12981.387744901565,6606.914800539541,6598.71606358994,11078.85214073269,9830.89999106367,1574.5399279099283,4537.025110362885,1118.8430222369009,1537.9389925099097,7505.149627195536,5223.847444426262,2134.8799157182702,6308.537771925007,1646.5424706420476,695.2573510545288,1717.6968421996937,0.0,1319.6263258874899,1739.9740827336304,2409.583253800543,1722.928893753889,398.5689357775947,2023.288540062737,2489.6794411140104,10500.580656352362,1559.3618854820566,3363.876975912895,100.72063567001045
LKPR,647.0153232599317,852.6058359792816,8520.514010353765,1750.6615229202562,9102.009097801203,11830.92337423204,6550.828678253268,6682.817209516884,9879.080082772547,9907.578033808217,264.80111614065527,4463.278821580964,281.576913555292,406.27801971921986,8252.779547259795,5714.970423703678,1489.3589955451396,7461.550939385754,696.6701556393344,1942.94896284112,1341.4084262122346,1319.6263258874899,0.0,793.0800262284977,2628.101221542469,503.18469523171706,1086.9490092945773,1454.9163652752302,1555.754332455913,9358.288777530079,642.0340692834425,2228.9079544309607,1234.036333291913
LFQQ,689.0474073989398,177.29972762352907,9123.256093925884,1235.5813496072453,9543.069153437295,11246.712767060582,5807.873795019511,5973.892370679363,9339.141101101264,9172.519686277623,673.6101624423094,5233.556863398388,737.3544487142678,392.7983156454291,7804.029472119836,6501.080434257892,2221.5840343980844,8042.99692176469,104.17464565809286,2186.4196889276245,736.7464462666057,1739.9740827336304,793.0800262284977,0.0,2102.4846976713584,1099.1833149167103,1375.4704625714714,715.1697675357511,2161.2853740484825,9522.742717702058,187.09147772320674,1624.5352370256298,1686.475455041425
BIKF,2789.8815830930635,2225.1176543641695,8956.580903846041,2888.0069315874402,8798.321608971684,11460.844970957083,4197.785190963327,4202.689344520942,9842.304164811861,7447.576134836068,2669.2628149565803,6885.950773003389,2379.1423258300797,2379.55963806095,5701.731716788582,7593.777972803409,4087.246738830808,7870.884193010363,2128.9170434945413,2177.0499490729367,1366.1622281126076,2409.583253800543,2628.101221542469,2102.4846976713584,0.0,3094.6660800724226,2109.0743457943413,1486.395041095137,4176.891888856657,11472.045420118653,2117.6234281227908,2942.307926147029,2454.7484880957145
LDZA,571.2976495991094,1079.12295434704,8670.244773563427,1692.5382745319923,9373.225157229546,11662.142744355435,6905.329783235579,7071.777341214486,9684.845164511811,10270.57949825156,435.372805823521,4162.586440529364,784.5721209488278,734.44155732098,8746.620493868128,5589.209484397878,1135.558870168953,7637.516242212898,1028.9384999379752,2385.7771646126907,1764.554368661314,1722.928893753889,503.18469523171706,1099.1833149167103,3094.6660800724226,0.0,1551.7236859844388,1812.1546193462373,1084.793589115557,8867.258411800965,1008.7302268245519,2202.428641890457,1628.0765988832688
ESSA,1675.0268443034151,1539.1555178390888,7780.26414951412,2601.3493707511634,8170.395509786672,12598.548940741373,6291.593874633475,6311.706893929508,10709.342326685113,9555.32776316363,1317.3110466843007,4784.718435844448,838.7723740907484,1222.987175365273,7411.6744673739295,5583.875141564338,2177.481833179683,6691.864080722933,1287.8123921554281,863.3297003586031,1320.2510546542144,398.5689357775947,1086.9490092945773,1375.4704625714714,2109.0743457943413,1551.7236859844388,0.0,1624.7526881721867,2452.3533525122343,10410.637422820557,1201.790094986564,2998.3052371348076,389.62412735087645
EIDW,1381.192654254011,784.9693369031335,9364.445984146492,1454.225118962622,9590.00408587783,11025.405820274522,5102.730002183939,5259.66456365284,9192.749867185408,8465.097546487645,1381.2860601870107,5918.191105076748,1308.440821698761,1086.8940196113897,7164.329817709851,7074.36258815461,2924.4683551417634,8268.747197889683,784.4652218415466,2262.6890021087634,337.2039534199319,2023.288540062737,1454.9163652752302,715.1697675357511,1486.395041095137,1812.1546193462373,1624.7526881721867,0.0,2875.9209801847924,10009.776088175524,818.4419646564614,1642.4746695558613,2002.9192181397093
LGAV,1521.438716868451,2108.8935232724316,8557.446927892031,2377.4313326404604,9532.669034889863,11725.05562218717,7932.455806289573,8127.399159836934,9730.98460712888,11295.07456624003,1517.8783303811158,3271.3092464029237,1823.2230335509435,1815.8370182307754,9800.56504320369,4983.851376266188,552.3631359390542,7607.430542904929,2101.487122926399,3184.843224387242,2848.2113604641363,2489.6794411140104,1555.754332455913,2161.2853740484825,4176.891888856657,1084.793589115557,2452.3533525122343,2875.9209801847924,0.0,8014.8303514408435,2089.016063229445,2870.399397724636,2389.0689513250063
FACT,8906.660841148243,9363.399547331674,12989.53522682959,8584.107113717999,14780.473523154042,6886.082041979985,12560.803274067739,13136.631844292497,6087.871598998781,13711.343976959879,9179.18835595483,7644.498781549268,9635.66209352229,9393.055953949077,16465.20953208748,9282.845350520629,8429.362191332484,12967.734897763023,9538.261583682088,11195.351682199891,10213.775685686389,10500.580656352362,9358.288777530079,9522.742717702058,11472.045420118653,8867.258411800965,10410.637422820557,10009.776088175524,8014.8303514408435,0.0,9586.034315842975,8579.965571388671,10399.864784061421
EHEH,692.3835754883867,337.5067385741307,8938.065932826861,1400.4404453661639,9372.118080501896,11430.931607617464,5920.872953839785,6069.742465228985,9519.607478719365,9282.302300217629,573.3926461914037,5102.345397401615,554.9586303035887,274.34672759363383,7809.899033180775,6331.400341379829,2107.001771303601,7858.784279958065,87.26507901126318,2026.9394149057935,761.9890447440483,1559.3618854820566,642.0340692834425,187.09147772320674,2117.6234281227908,1008.7302268245519,1201.790094986564,818.4419646564614,2089.016063229445,9586.034315842975,0.0,1804.6765643174188,1503.538739642221
LPPT,1650.4062874119006,1469.9632862919395,10730.78496714352,512.8845584370001,11153.913596141403,9632.30052917482,5404.309620041176,5739.078245285105,7714.979604082941,8664.536583495246,1983.6079398270863,6137.549256169119,2302.6857424820937,1873.84706028188,8288.503867714651,7767.803301105655,3211.7174335800105,9657.682879314776,1717.441913766903,3783.3341214037023,1956.1303624433278,3363.876975912895,2228.9079544309607,1624.5352370256298,2942.307926147029,2202.428641890457,2998.3052371348076,1642.4746695558613,2870.399397724636,8579.965571388671,1804.6765643174188,0.0,3307.6755735702613
EETN,1870.2436430922335,1837.8392888325443,7439.701976930367,2883.3149200833927,7898.436176812024,12932.640473630083,6649.356410602336,6650.662663103135,11021.75343361116,9887.012309094367,1491.5970050572942,4471.733222742804,1043.7146044590377,1467.8755620952131,7595.2331088364135,5200.6264450305825,2037.0282863908224,6357.094712899396,1590.7996147657782,795.9448462888196,1705.517234342453,100.72063567001045,1234.036333291913,1686.475455041425,2454.7484880957145,1628.0765988832688,389.62412735087645,2002.9192181397093,2389.0689513250063,10399.864784061421,1503.538739642221,3307.6755735702613,0.0
