,LIME,ZSPD,VIDP,LFPG,SAEZ,KJFK,CYVR,OMDB,EDDT,LTFM,EDDM,LEMD,ZBAA,EDDF,CYYZ,SBGL,MMMX,RJAA,EIDW,EGPH,ESSA,LPPT,LDZA,FACT,EBBR,EETN,EHEH,LFQQ,BIKF,LGAV,EFHK,LKPR,EFRO
ESSA,1647.7243899240607,7780.26414951412,5583.875141564338,1539.1555178390888,12598.548940741373,6291.593874633475,7411.6744673739295,4784.718435844448,838.7723740907484,2177.481833179683,1317.3110466843007,2601.3493707511634,6691.864080722933,1222.987175365273,6311.706893929508,10709.342326685113,9555.32776316363,8170.395509786672,1624.7526881721867,1320.2510546542144,0.0,2998.3052371348076,1551.7236859844388,10410.637422820557,1287.8123921554281,389.62412735087645,1201.790094986564,1375.4704625714714,2109.0743457943413,2452.3533525122343,398.5689357775947,1086.9490092945773,863.3297003586031
LPPT,1724.0154738241492,10730.78496714352,7767.803301105655,1469.9632862919395,9632.30052917482,5404.309620041176,8288.503867714651,6137.549256169119,2302.6857424820937,3211.7174335800105,1983.6079398270863,512.8845584370001,9657.682879314776,1873.84706028188,5739.078245285105,7714.979604082941,8664.536583495246,11153.913596141403,1642.4746695558613,1956.1303624433278,2998.3052371348076,0.0,2202.428641890457,8579.965571388671,1717.441913766903,3307.6755735702613,1804.6765643174188,1624.5352370256298,2942.307926147029,2870.399397724636,3363.876975912895,2228.9079544309607,3783.3341214037023
LDZA,494.3715279576347,8670.244773563427,5589.209484397878,1079.12295434704,11662.142744355435,6905.329783235579,8746.620493868128,4162.586440529364,784.5721209488278,1135.558870168953,435.372805823521,1692.5382745319923,7637.516242212898,734.44155732098,7071.777341214486,9684.845164511811,10270.57949825156,9373.225157229546,1812.1546193462373,1764.554368661314,1551.7236859844388,2202.428641890457,0.0,8867.258411800965,1028.9384999379752,1628.0765988832688,1008.7302268245519,1099.1833149167103,3094.6660800724226,1084.793589115557,1722.928893753889,503.18469523171706,2385.7771646126907
FACT,8900.787773541293,12989.53522682959,9282.845350520629,9363.399547331674,6886.082041979985,12560.803274067739,16465.20953208748,7644.498781549268,9635.66209352229,8429.362191332484,9179.18835595483,8584.107113717999,12967.734897763023,9393.055953949077,13136.631844292497,6087.871598998781,13711.343976959879,14780.473523154042,10009.776088175524,10213.775685686389,10410.637422820557,8579.965571388671,8867.258411800965,0.0,9538.261583682088,10399.864784061421,9586.034315842975,9522.742717702058,11472.045420118653,8014.8303514408435,10500.580656352362,9358.288777530079,11195.351682199891
EBBR,697.6241308496129,9024.973770238224,6399.817544030502,251.42649654422516,11343.810900959297,5885.3697807968165,7827.183480204533,5147.156165772344,633.1798423077714,2141.818322400416,596.828250612871,1315.552739483112,7945.907748157385,304.70667836915743,6043.2341631455665,9432.38980302497,9248.791253224706,9457.890709909856,784.4652218415466,764.8529460052239,1287.8123921554281,1717.441913766903,1028.9384999379752,9538.261583682088,0.0,1590.7996147657782,87.26507901126318,104.17464565809286,2128.9170434945413,2101.487122926399,1646.5424706420476,696.6701556393344,2109.419990192777
EETN,1829.3731684707757,7439.701976930367,5200.6264450305825,1837.8392888325443,12932.640473630083,6649.356410602336,7595.2331088364135,4471.733222742804,1043.7146044590377,2037.0282863908224,1491.5970050572942,2883.3149200833927,6357.094712899396,1467.8755620952131,6650.662663103135,11021.75343361116,9887.012309094367,7898.436176812024,2002.9192181397093,1705.517234342453,389.62412735087645,3307.6755735702613,1628.0765988832688,10399.864784061421,1590.7996147657782,0.0,1503.538739642221,1686.475455041425,2454.7484880957145,2389.0689513250063,100.72063567001045,1234.036333291913,795.9448462888196
EHEH,716.9528370522909,8938.065932826861,6331.400341379829,337.5067385741307,11430.931607617464,5920.872953839785,7809.899033180775,5102.345397401615,554.9586303035887,2107.001771303601,573.3926461914037,1400.4404453661639,7858.784279958065,274.34672759363383,6069.742465228985,9519.607478719365,9282.302300217629,9372.118080501896,818.4419646564614,761.9890447440483,1201.790094986564,1804.6765643174188,1008.7302268245519,9586.034315842975,87.26507901126318,1503.538739642221,0.0,187.09147772320674,2117.6234281227908,2089.016063229445,1559.3618854820566,642.0340692834425,2026.9394149057935
LFQQ,731.8948304163779,9123.256093925884,6501.080434257892,177.29972762352907,11246.712767060582,5807.873795019511,7804.029472119836,5233.556863398388,737.3544487142678,2221.5840343980844,673.6101624423094,1235.5813496072453,8042.99692176469,392.7983156454291,5973.892370679363,9339.141101101264,9172.519686277623,9543.069153437295,715.1697675357511,736.7464462666057,1375.4704625714714,1624.5352370256298,1099.1833149167103,9522.742717702058,104.17464565809286,1686.475455041425,187.09147772320674,0.0,2102.4846976713584,2161.2853740484825,1739.9740827336304,793.0800262284977,2186.4196889276245
BIKF,2826.491908642492,8956.580903846041,7593.777972803409,2225.1176543641695,11460.844970957083,4197.785190963327,5701.731716788582,6885.950773003389,2379.1423258300797,4087.246738830808,2669.2628149565803,2888.0069315874402,7870.884193010363,2379.55963806095,4202.689344520942,9842.304164811861,7447.576134836068,8798.321608971684,1486.395041095137,1366.1622281126076,2109.0743457943413,2942.307926147029,3094.6660800724226,11472.045420118653,2128.9170434945413,2454.7484880957145,2117.6234281227908,2102.4846976713584,0.0,4176.891888856657,2409.583253800543,2628.101221542469,2177.0499490729367
LGAV,1457.2765076695869,8557.446927892031,4983.851376266188,2108.8935232724316,11725.05562218717,7932.455806289573,9800.56504320369,3271.3092464029237,1823.2230335509435,552.3631359390542,1517.8783303811158,2377.4313326404604,7607.430542904929,1815.8370182307754,8127.399159836934,9730.98460712888,11295.07456624003,9532.669034889863,2875.9209801847924,2848.2113604641363,2452.3533525122343,2870.399397724636,1084.793589115557,8014.8303514408435,2101.487122926399,2389.0689513250063,2089.016063229445,2161.2853740484825,4176.891888856657,0.0,2489.6794411140104,1555.754332455913,3184.843224387242
EFHK,1912.2938553387621,7393.997300475772,5223.847444426262,1895.5582344575273,12981.387744901565,6606.914800539541,7505.149627195536,4537.025110362885,1118.8430222369009,2134.8799157182702,1574.5399279099283,2947.4320721225527,6308.537771925007,1537.9389925099097,6598.71606358994,11078.85214073269,9830.89999106367,7828.74735963798,2023.288540062737,1717.6968421996937,398.5689357775947,3363.876975912895,1722.928893753889,10500.580656352362,1646.5424706420476,100.72063567001045,1559.3618854820566,1739.9740827336304,2409.583253800543,2489.6794411140104,0.0,1319.6263258874899,695.2573510545288
LKPR,598.695349516173,8520.514010353765,5714.970423703678,852.6058359792816,11830.92337423204,6550.828678253268,8252.779547259795,4463.278821580964,281.576913555292,1489.3589955451396,264.80111614065527,1750.6615229202562,7461.550939385754,406.27801971921986,6682.817209516884,9879.080082772547,9907.578033808217,9102.009097801203,1454.9163652752302,1341.4084262122346,1086.9490092945773,2228.9079544309607,503.18469523171706,9358.288777530079,696.6701556393344,1234.036333291913,642.0340692834425,793.0800262284977,2628.101221542469,1555.754332455913,1319.6263258874899,0.0,1942.94896284112
EFRO,2510.9812975034515,7111.796723483437,5439.118104243794,2358.800861619531,13282.900559270385,6318.434484589655,6878.634761429539,5027.306459147683,1701.8548750228817,2818.8505107888336,2179.5591456309016,3422.0000222935455,6013.908578937793,2079.668281738598,6243.416783834656,11451.376242794004,9429.19591909452,7370.85294938375,2262.6890021087634,1927.0385770142573,863.3297003586031,3783.3341214037023,2385.7771646126907,11195.351682199891,2109.419990192777,795.9448462888196,2026.9394149057935,2186.4196889276245,2177.0499490729367,3184.843224387242,695.2573510545288,1942.94896284112,0.0
