,LIME,RJAA,CYVR,LTFM,ZSPD,ZBAA,KJFK,SAEZ,MMMX,SBGL,VIDP,EDDM,EDDT,OMDB,EDDF,LEMD,CYYZ,LFPG,LKPR,FACT,ESSA,BIKF,LDZA,LGAV,EIDW,EFRO,LPPT,EGPH,EETN,LFQQ,EHEH,EFHK,EBBR
ESSA,1647.7243899240607,8170.395509786672,7411.6744673739295,2177.481833179683,7780.26414951412,6691.864080722933,6291.593874633475,12598.548940741373,9555.32776316363,10709.342326685113,5583.875141564338,1317.3110466843007,838.7723740907484,4784.718435844448,1222.987175365273,2601.3493707511634,6311.706893929508,1539.1555178390888,1086.9490092945773,10410.637422820557,0.0,2109.0743457943413,1551.7236859844388,2452.3533525122343,1624.7526881721867,863.3297003586031,2998.3052371348076,1320.2510546542144,389.62412735087645,1375.4704625714714,1201.790094986564,398.5689357775947,1287.8123921554281
BIKF,2826.491908642492,8798.321608971684,5701.731716788582,4087.246738830808,8956.580903846041,7870.884193010363,4197.785190963327,11460.844970957083,7447.576134836068,9842.304164811861,7593.777972803409,2669.2628149565803,2379.1423258300797,6885.950773003389,2379.55963806095,2888.0069315874402,4202.689344520942,2225.1176543641695,2628.101221542469,11472.045420118653,2109.0743457943413,0.0,3094.6660800724226,4176.891888856657,1486.395041095137,2177.0499490729367,2942.307926147029,1366.1622281126076,2454.7484880957145,2102.4846976713584,2117.6234281227908,2409.583253800543,2128.9170434945413
LDZA,494.3715279576347,9373.225157229546,8746.620493868128,1135.558870168953,8670.244773563427,7637.516242212898,6905.329783235579,11662.142744355435,10270.57949825156,9684.845164511811,5589.209484397878,435.372805823521,784.5721209488278,4162.586440529364,734.44155732098,1692.5382745319923,7071.777341214486,1079.12295434704,503.18469523171706,8867.258411800965,1551.7236859844388,3094.6660800724226,0.0,1084.793589115557,1812.1546193462373,2385.7771646126907,2202.428641890457,1764.554368661314,1628.0765988832688,1099.1833149167103,1008.7302268245519,1722.928893753889,1028.9384999379752
LGAV,1457.2765076695869,9532.669034889863,9800.56504320369,552.3631359390542,8557.446927892031,7607.430542904929,7932.455806289573,11725.05562218717,11295.07456624003,9730.98460712888,4983.851376266188,1517.8783303811158,1823.2230335509435,3271.3092464029237,1815.8370182307754,2377.4313326404604,8127.399159836934,2108.8935232724316,1555.754332455913,8014.8303514408435,2452.3533525122343,4176.891888856657,1084.793589115557,0.0,2875.9209801847924,3184.843224387242,2870.399397724636,2848.2113604641363,2389.0689513250063,2161.2853740484825,2089.016063229445,2489.6794411140104,2101.487122926399
EIDW,1433.663567238871,9590.00408587783,7164.329817709851,2924.4683551417634,9364.445984146492,8268.747197889683,5102.730002183939,11025.405820274522,8465.097546487645,9192.749867185408,7074.36258815461,1381.2860601870107,1308.440821698761,5918.191105076748,1086.8940196113897,1454.225118962622,5259.66456365284,784.9693369031335,1454.9163652752302,10009.776088175524,1624.7526881721867,1486.395041095137,1812.1546193462373,2875.9209801847924,0.0,2262.6890021087634,1642.4746695558613,337.2039534199319,2002.9192181397093,715.1697675357511,818.4419646564614,2023.288540062737,784.4652218415466
EFRO,2510.9812975034515,7370.85294938375,6878.634761429539,2818.8505107888336,7111.796723483437,6013.908578937793,6318.434484589655,13282.900559270385,9429.19591909452,11451.376242794004,5439.118104243794,2179.5591456309016,1701.8548750228817,5027.306459147683,2079.668281738598,3422.0000222935455,6243.416783834656,2358.800861619531,1942.94896284112,11195.351682199891,863.3297003586031,2177.0499490729367,2385.7771646126907,3184.843224387242,2262.6890021087634,0.0,3783.3341214037023,1927.0385770142573,795.9448462888196,2186.4196889276245,2026.9394149057935,695.2573510545288,2109.419990192777
LPPT,1724.0154738241492,11153.913596141403,8288.503867714651,3211.7174335800105,10730.78496714352,9657.682879314776,5404.309620041176,9632.30052917482,8664.536583495246,7714.979604082941,7767.803301105655,1983.6079398270863,2302.6857424820937,6137.549256169119,1873.84706028188,512.8845584370001,5739.078245285105,1469.9632862919395,2228.9079544309607,8579.965571388671,2998.3052371348076,2942.307926147029,2202.428641890457,2870.399397724636,1642.4746695558613,3783.3341214037023,0.0,1956.1303624433278,3307.6755735702613,1624.5352370256298,1804.6765643174188,3363.876975912895,1717.441913766903
EGPH,1461.4919162938756,9254.53199963534,7067.373027293543,2830.767342771072,9032.685343726816,7936.25672217657,5224.818687727301,11358.623493704585,8573.011598267407,9529.814395113926,6836.246415386642,1330.3366233869128,1142.604257606154,5776.784700011543,1032.8584656977316,1721.1421621023853,5342.430556810266,868.6768639079258,1341.4084262122346,10213.775685686389,1320.2510546542144,1366.1622281126076,1764.554368661314,2848.2113604641363,337.2039534199319,1927.0385770142573,1956.1303624433278,0.0,1705.517234342453,736.7464462666057,761.9890447440483,1717.6968421996937,764.8529460052239
EETN,1829.3731684707757,7898.436176812024,7595.2331088364135,2037.0282863908224,7439.701976930367,6357.094712899396,6649.356410602336,12932.640473630083,9887.012309094367,11021.75343361116,5200.6264450305825,1491.5970050572942,1043.7146044590377,4471.733222742804,1467.8755620952131,2883.3149200833927,6650.662663103135,1837.8392888325443,1234.036333291913,10399.864784061421,389.62412735087645,2454.7484880957145,1628.0765988832688,2389.0689513250063,2002.9192181397093,795.9448462888196,3307.6755735702613,1705.517234342453,0.0,1686.475455041425,1503.538739642221,100.72063567001045,1590.7996147657782
LFQQ,731.8948304163779,9543.069153437295,7804.029472119836,2221.5840343980844,9123.256093925884,8042.99692176469,5807.873795019511,11246.712767060582,9172.519686277623,9339.141101101264,6501.080434257892,673.6101624423094,737.3544487142678,5233.556863398388,392.7983156454291,1235.5813496072453,5973.892370679363,177.29972762352907,793.0800262284977,9522.742717702058,1375.4704625714714,2102.4846976713584,1099.1833149167103,2161.2853740484825,715.1697675357511,2186.4196889276245,1624.5352370256298,736.7464462666057,1686.475455041425,0.0,187.09147772320674,1739.9740827336304,104.17464565809286
EHEH,716.9528370522909,9372.118080501896,7809.899033180775,2107.001771303601,8938.065932826861,7858.784279958065,5920.872953839785,11430.931607617464,9282.302300217629,9519.607478719365,6331.400341379829,573.3926461914037,554.9586303035887,5102.345397401615,274.34672759363383,1400.4404453661639,6069.742465228985,337.5067385741307,642.0340692834425,9586.034315842975,1201.790094986564,2117.6234281227908,1008.7302268245519,2089.016063229445,818.4419646564614,2026.9394149057935,1804.6765643174188,761.9890447440483,1503.538739642221,187.09147772320674,0.0,1559.3618854820566,87.26507901126318
EFHK,1912.2938553387621,7828.74735963798,7505.149627195536,2134.8799157182702,7393.997300475772,6308.537771925007,6606.914800539541,12981.387744901565,9830.89999106367,11078.85214073269,5223.847444426262,1574.5399279099283,1118.8430222369009,4537.025110362885,1537.9389925099097,2947.4320721225527,6598.71606358994,1895.5582344575273,1319.6263258874899,10500.580656352362,398.5689357775947,2409.583253800543,1722.928893753889,2489.6794411140104,2023.288540062737,695.2573510545288,3363.876975912895,1717.6968421996937,100.72063567001045,1739.9740827336304,1559.3618854820566,0.0,1646.5424706420476
EBBR,697.6241308496129,9457.890709909856,7827.183480204533,2141.818322400416,9024.973770238224,7945.907748157385,5885.3697807968165,11343.810900959297,9248.791253224706,9432.38980302497,6399.817544030502,596.828250612871,633.1798423077714,5147.156165772344,304.70667836915743,1315.552739483112,6043.2341631455665,251.42649654422516,696.6701556393344,9538.261583682088,1287.8123921554281,2128.9170434945413,1028.9384999379752,2101.487122926399,784.4652218415466,2109.419990192777,1717.441913766903,764.8529460052239,1590.7996147657782,104.17464565809286,87.26507901126318,1646.5424706420476,0.0
