,LIMC,SBGL,EDDF,LEMD,CYYZ,CYVR,EDDT,VIDP,SAEZ,KJFK,LTFM,OMDB,ZBAA,LFPG,ZSPD,EDDM,MMMX,RJAA,EGPH,ESSA,LFQQ,BIKF,LDZA,LGAV,EFRO,LKPR,LPPT,EFHK,EBBR,EHEH,EETN,FACT,EIDW
LFQQ,689.0474073989398,9339.141101101264,392.7983156454291,1235.5813496072453,5973.892370679363,7804.029472119836,737.3544487142678,6501.080434257892,11246.712767060582,5807.873795019511,2221.5840343980844,5233.556863398388,8042.99692176469,177.29972762352907,9123.256093925884,673.6101624423094,9172.519686277623,9543.069153437295,736.7464462666057,1375.4704625714714,0.0,2102.4846976713584,1099.1833149167103,2161.2853740484825,2186.4196889276245,793.0800262284977,1624.5352370256298,1739.9740827336304,104.17464565809286,187.09147772320674,1686.475455041425,9522.742717702058,715.1697675357511
BIKF,2789.8815830930635,9842.304164811861,2379.55963806095,2888.0069315874402,4202.689344520942,5701.731716788582,2379.1423258300797,7593.777972803409,11460.844970957083,4197.785190963327,4087.246738830808,6885.950773003389,7870.884193010363,2225.1176543641695,8956.580903846041,2669.2628149565803,7447.576134836068,8798.321608971684,1366.1622281126076,2109.0743457943413,2102.4846976713584,0.0,3094.6660800724226,4176.891888856657,2177.0499490729367,2628.101221542469,2942.307926147029,2409.583253800543,2128.9170434945413,2117.6234281227908,2454.7484880957145,11472.045420118653,1486.395041095137
LDZA,571.2976495991094,9684.845164511811,734.44155732098,1692.5382745319923,7071.777341214486,8746.620493868128,784.5721209488278,5589.209484397878,11662.142744355435,6905.329783235579,1135.558870168953,4162.586440529364,7637.516242212898,1079.12295434704,8670.244773563427,435.372805823521,10270.57949825156,9373.225157229546,1764.554368661314,1551.7236859844388,1099.1833149167103,3094.6660800724226,0.0,1084.793589115557,2385.7771646126907,503.18469523171706,2202.428641890457,1722.928893753889,1028.9384999379752,1008.7302268245519,1628.0765988832688,8867.258411800965,1812.1546193462373
LGAV,1521.438716868451,9730.98460712888,1815.8370182307754,2377.4313326404604,8127.399159836934,9800.56504320369,1823.2230335509435,4983.851376266188,11725.05562218717,7932.455806289573,552.3631359390542,3271.3092464029237,7607.430542904929,2108.8935232724316,8557.446927892031,1517.8783303811158,11295.07456624003,9532.669034889863,2848.2113604641363,2452.3533525122343,2161.2853740484825,4176.891888856657,1084.793589115557,0.0,3184.843224387242,1555.754332455913,2870.399397724636,2489.6794411140104,2101.487122926399,2089.016063229445,2389.0689513250063,8014.8303514408435,2875.9209801847924
EFRO,2538.132936085888,11451.376242794004,2079.668281738598,3422.0000222935455,6243.416783834656,6878.634761429539,1701.8548750228817,5439.118104243794,13282.900559270385,6318.434484589655,2818.8505107888336,5027.306459147683,6013.908578937793,2358.800861619531,7111.796723483437,2179.5591456309016,9429.19591909452,7370.85294938375,1927.0385770142573,863.3297003586031,2186.4196889276245,2177.0499490729367,2385.7771646126907,3184.843224387242,0.0,1942.94896284112,3783.3341214037023,695.2573510545288,2109.419990192777,2026.9394149057935,795.9448462888196,11195.351682199891,2262.6890021087634
LKPR,647.0153232599317,9879.080082772547,406.27801971921986,1750.6615229202562,6682.817209516884,8252.779547259795,281.576913555292,5714.970423703678,11830.92337423204,6550.828678253268,1489.3589955451396,4463.278821580964,7461.550939385754,852.6058359792816,8520.514010353765,264.80111614065527,9907.578033808217,9102.009097801203,1341.4084262122346,1086.9490092945773,793.0800262284977,2628.101221542469,503.18469523171706,1555.754332455913,1942.94896284112,0.0,2228.9079544309607,1319.6263258874899,696.6701556393344,642.0340692834425,1234.036333291913,9358.288777530079,1454.9163652752302
LPPT,1650.4062874119006,7714.979604082941,1873.84706028188,512.8845584370001,5739.078245285105,8288.503867714651,2302.6857424820937,7767.803301105655,9632.30052917482,5404.309620041176,3211.7174335800105,6137.549256169119,9657.682879314776,1469.9632862919395,10730.78496714352,1983.6079398270863,8664.536583495246,11153.913596141403,1956.1303624433278,2998.3052371348076,1624.5352370256298,2942.307926147029,2202.428641890457,2870.399397724636,3783.3341214037023,2228.9079544309607,0.0,3363.876975912895,1717.441913766903,1804.6765643174188,3307.6755735702613,8579.965571388671,1642.4746695558613
EFHK,1951.0929540754787,11078.85214073269,1537.9389925099097,2947.4320721225527,6598.71606358994,7505.149627195536,1118.8430222369009,5223.847444426262,12981.387744901565,6606.914800539541,2134.8799157182702,4537.025110362885,6308.537771925007,1895.5582344575273,7393.997300475772,1574.5399279099283,9830.89999106367,7828.74735963798,1717.6968421996937,398.5689357775947,1739.9740827336304,2409.583253800543,1722.928893753889,2489.6794411140104,695.2573510545288,1319.6263258874899,3363.876975912895,0.0,1646.5424706420476,1559.3618854820566,100.72063567001045,10500.580656352362,2023.288540062737
EBBR,664.3952506566018,9432.38980302497,304.70667836915743,1315.552739483112,6043.2341631455665,7827.183480204533,633.1798423077714,6399.817544030502,11343.810900959297,5885.3697807968165,2141.818322400416,5147.156165772344,7945.907748157385,251.42649654422516,9024.973770238224,596.828250612871,9248.791253224706,9457.890709909856,764.8529460052239,1287.8123921554281,104.17464565809286,2128.9170434945413,1028.9384999379752,2101.487122926399,2109.419990192777,696.6701556393344,1717.441913766903,1646.5424706420476,0.0,87.26507901126318,1590.7996147657782,9538.261583682088,784.4652218415466
EHEH,692.3835754883867,9519.607478719365,274.34672759363383,1400.4404453661639,6069.742465228985,7809.899033180775,554.9586303035887,6331.400341379829,11430.931607617464,5920.872953839785,2107.001771303601,5102.345397401615,7858.784279958065,337.5067385741307,8938.065932826861,573.3926461914037,9282.302300217629,9372.118080501896,761.9890447440483,1201.790094986564,187.09147772320674,2117.6234281227908,1008.7302268245519,2089.016063229445,2026.9394149057935,642.0340692834425,1804.6765643174188,1559.3618854820566,87.26507901126318,0.0,1503.538739642221,9586.034315842975,818.4419646564614
EETN,1870.2436430922335,11021.75343361116,1467.8755620952131,2883.3149200833927,6650.662663103135,7595.2331088364135,1043.7146044590377,5200.6264450305825,12932.640473630083,6649.356410602336,2037.0282863908224,4471.733222742804,6357.094712899396,1837.8392888325443,7439.701976930367,1491.5970050572942,9887.012309094367,7898.436176812024,1705.517234342453,389.62412735087645,1686.475455041425,2454.7484880957145,1628.0765988832688,2389.0689513250063,795.9448462888196,1234.036333291913,3307.6755735702613,100.72063567001045,1590.7996147657782,1503.538739642221,0.0,10399.864784061421,2002.9192181397093
FACT,8906.660841148243,6087.871598998781,9393.055953949077,8584.107113717999,13136.631844292497,16465.20953208748,9635.66209352229,9282.845350520629,6886.082041979985,12560.803274067739,8429.362191332484,7644.498781549268,12967.734897763023,9363.399547331674,12989.53522682959,9179.18835595483,13711.343976959879,14780.473523154042,10213.775685686389,10410.637422820557,9522.742717702058,11472.045420118653,8867.258411800965,8014.8303514408435,11195.351682199891,9358.288777530079,8579.965571388671,10500.580656352362,9538.261583682088,9586.034315842975,10399.864784061421,0.0,10009.776088175524
EIDW,1381.192654254011,9192.749867185408,1086.8940196113897,1454.225118962622,5259.66456365284,7164.329817709851,1308.440821698761,7074.36258815461,11025.405820274522,5102.730002183939,2924.4683551417634,5918.191105076748,8268.747197889683,784.9693369031335,9364.445984146492,1381.2860601870107,8465.097546487645,9590.00408587783,337.2039534199319,1624.7526881721867,715.1697675357511,1486.395041095137,1812.1546193462373,2875.9209801847924,2262.6890021087634,1454.9163652752302,1642.4746695558613,2023.288540062737,784.4652218415466,818.4419646564614,2002.9192181397093,10009.776088175524,0.0
