,LIME,MMMX,OMDB,LFPG,ZBAA,EDDM,ZSPD,LEMD,VIDP,SAEZ,CYVR,LTFM,CYYZ,EDDT,SBGL,KJFK,RJAA,EDDF,LDZA,LFQQ,EBBR,EFHK,EGPH,LPPT,EFRO,EHEH,EIDW,LGAV,FACT,BIKF,EETN,ESSA,LKPR
EFHK,1912.2938553387621,9830.89999106367,4537.025110362885,1895.5582344575273,6308.537771925007,1574.5399279099283,7393.997300475772,2947.4320721225527,5223.847444426262,12981.387744901565,7505.149627195536,2134.8799157182702,6598.71606358994,1118.8430222369009,11078.85214073269,6606.914800539541,7828.74735963798,1537.9389925099097,1722.928893753889,1739.9740827336304,1646.5424706420476,0.0,1717.6968421996937,3363.876975912895,695.2573510545288,1559.3618854820566,2023.288540062737,2489.6794411140104,10500.580656352362,2409.583253800543,100.72063567001045,398.5689357775947,1319.6263258874899
EGPH,1461.4919162938756,8573.011598267407,5776.784700011543,868.6768639079258,7936.25672217657,1330.3366233869128,9032.685343726816,1721.1421621023853,6836.246415386642,11358.623493704585,7067.373027293543,2830.767342771072,5342.430556810266,1142.604257606154,9529.814395113926,5224.818687727301,9254.53199963534,1032.8584656977316,1764.554368661314,736.7464462666057,764.8529460052239,1717.6968421996937,0.0,1956.1303624433278,1927.0385770142573,761.9890447440483,337.2039534199319,2848.2113604641363,10213.775685686389,1366.1622281126076,1705.517234342453,1320.2510546542144,1341.4084262122346
LPPT,1724.0154738241492,8664.536583495246,6137.549256169119,1469.9632862919395,9657.682879314776,1983.6079398270863,10730.78496714352,512.8845584370001,7767.803301105655,9632.30052917482,8288.503867714651,3211.7174335800105,5739.078245285105,2302.6857424820937,7714.979604082941,5404.309620041176,11153.913596141403,1873.84706028188,2202.428641890457,1624.5352370256298,1717.441913766903,3363.876975912895,1956.1303624433278,0.0,3783.3341214037023,1804.6765643174188,1642.4746695558613,2870.399397724636,8579.965571388671,2942.307926147029,3307.6755735702613,2998.3052371348076,2228.9079544309607
EFRO,2510.9812975034515,9429.19591909452,5027.306459147683,2358.800861619531,6013.908578937793,2179.5591456309016,7111.796723483437,3422.0000222935455,5439.118104243794,13282.900559270385,6878.634761429539,2818.8505107888336,6243.416783834656,1701.8548750228817,11451.376242794004,6318.434484589655,7370.85294938375,2079.668281738598,2385.7771646126907,2186.4196889276245,2109.419990192777,695.2573510545288,1927.0385770142573,3783.3341214037023,0.0,2026.9394149057935,2262.6890021087634,3184.843224387242,11195.351682199891,2177.0499490729367,795.9448462888196,863.3297003586031,1942.94896284112
EHEH,716.9528370522909,9282.302300217629,5102.345397401615,337.5067385741307,7858.784279958065,573.3926461914037,8938.065932826861,1400.4404453661639,6331.400341379829,11430.931607617464,7809.899033180775,2107.001771303601,6069.742465228985,554.9586303035887,9519.607478719365,5920.872953839785,9372.118080501896,274.34672759363383,1008.7302268245519,187.09147772320674,87.26507901126318,1559.3618854820566,761.9890447440483,1804.6765643174188,2026.9394149057935,0.0,818.4419646564614,2089.016063229445,9586.034315842975,2117.6234281227908,1503.538739642221,1201.790094986564,642.0340692834425
EIDW,1433.663567238871,8465.097546487645,5918.191105076748,784.9693369031335,8268.747197889683,1381.2860601870107,9364.445984146492,1454.225118962622,7074.36258815461,11025.405820274522,7164.329817709851,2924.4683551417634,5259.66456365284,1308.440821698761,9192.749867185408,5102.730002183939,9590.00408587783,1086.8940196113897,1812.1546193462373,715.1697675357511,784.4652218415466,2023.288540062737,337.2039534199319,1642.4746695558613,2262.6890021087634,818.4419646564614,0.0,2875.9209801847924,10009.776088175524,1486.395041095137,2002.9192181397093,1624.7526881721867,1454.9163652752302
LGAV,1457.2765076695869,11295.07456624003,3271.3092464029237,2108.8935232724316,7607.430542904929,1517.8783303811158,8557.446927892031,2377.4313326404604,4983.851376266188,11725.05562218717,9800.56504320369,552.3631359390542,8127.399159836934,1823.2230335509435,9730.98460712888,7932.455806289573,9532.669034889863,1815.8370182307754,1084.793589115557,2161.2853740484825,2101.487122926399,2489.6794411140104,2848.2113604641363,2870.399397724636,3184.843224387242,2089.016063229445,2875.9209801847924,0.0,8014.8303514408435,4176.891888856657,2389.0689513250063,2452.3533525122343,1555.754332455913
FACT,8900.787773541293,13711.343976959879,7644.498781549268,9363.399547331674,12967.734897763023,9179.18835595483,12989.53522682959,8584.107113717999,9282.845350520629,6886.082041979985,16465.20953208748,8429.362191332484,13136.631844292497,9635.66209352229,6087.871598998781,12560.803274067739,14780.473523154042,9393.055953949077,8867.258411800965,9522.742717702058,9538.261583682088,10500.580656352362,10213.775685686389,8579.965571388671,11195.351682199891,9586.034315842975,10009.776088175524,8014.8303514408435,0.0,11472.045420118653,10399.864784061421,10410.637422820557,9358.288777530079
BIKF,2826.491908642492,7447.576134836068,6885.950773003389,2225.1176543641695,7870.884193010363,2669.2628149565803,8956.580903846041,2888.0069315874402,7593.777972803409,11460.844970957083,5701.731716788582,4087.246738830808,4202.689344520942,2379.1423258300797,9842.304164811861,4197.785190963327,8798.321608971684,2379.55963806095,3094.6660800724226,2102.4846976713584,2128.9170434945413,2409.583253800543,1366.1622281126076,2942.307926147029,2177.0499490729367,2117.6234281227908,1486.395041095137,4176.891888856657,11472.045420118653,0.0,2454.7484880957145,2109.0743457943413,2628.101221542469
EETN,1829.3731684707757,9887.012309094367,4471.733222742804,1837.8392888325443,6357.094712899396,1491.5970050572942,7439.701976930367,2883.3149200833927,5200.6264450305825,12932.640473630083,7595.2331088364135,2037.0282863908224,6650.662663103135,1043.7146044590377,11021.75343361116,6649.356410602336,7898.436176812024,1467.8755620952131,1628.0765988832688,1686.475455041425,1590.7996147657782,100.72063567001045,1705.517234342453,3307.6755735702613,795.9448462888196,1503.538739642221,2002.9192181397093,2389.0689513250063,10399.864784061421,2454.7484880957145,0.0,389.62412735087645,1234.036333291913
ESSA,1647.7243899240607,9555.32776316363,4784.718435844448,1539.1555178390888,6691.864080722933,1317.3110466843007,7780.26414951412,2601.3493707511634,5583.875141564338,12598.548940741373,7411.6744673739295,2177.481833179683,6311.706893929508,838.7723740907484,10709.342326685113,6291.593874633475,8170.395509786672,1222.987175365273,1551.7236859844388,1375.4704625714714,1287.8123921554281,398.5689357775947,1320.2510546542144,2998.3052371348076,863.3297003586031,1201.790094986564,1624.7526881721867,2452.3533525122343,10410.637422820557,2109.0743457943413,389.62412735087645,0.0,1086.9490092945773
LKPR,598.695349516173,9907.578033808217,4463.278821580964,852.6058359792816,7461.550939385754,264.80111614065527,8520.514010353765,1750.6615229202562,5714.970423703678,11830.92337423204,8252.779547259795,1489.3589955451396,6682.817209516884,281.576913555292,9879.080082772547,6550.828678253268,9102.009097801203,406.27801971921986,503.18469523171706,793.0800262284977,696.6701556393344,1319.6263258874899,1341.4084262122346,2228.9079544309607,1942.94896284112,642.0340692834425,1454.9163652752302,1555.754332455913,9358.288777530079,2628.101221542469,1234.036333291913,1086.9490092945773,0.0
