,LIMC,EDDF,RJAA,KJFK,SBGL,CYVR,LEMD,CYYZ,ZBAA,LTFM,SAEZ,ZSPD,EDDM,LFPG,VIDP,OMDB,EDDT,MMMX,EFHK,EBBR,EGPH,LKPR,FACT,LGAV,BIKF,ESSA,EIDW,LPPT,EETN,LFQQ,EFRO,LDZA,EHEH
LKPR,647.0153232599317,406.27801971921986,9102.009097801203,6550.828678253268,9879.080082772547,8252.779547259795,1750.6615229202562,6682.817209516884,7461.550939385754,1489.3589955451396,11830.92337423204,8520.514010353765,264.80111614065527,852.6058359792816,5714.970423703678,4463.278821580964,281.576913555292,9907.578033808217,1319.6263258874899,696.6701556393344,1341.4084262122346,0.0,9358.288777530079,1555.754332455913,2628.101221542469,1086.9490092945773,1454.9163652752302,2228.9079544309607,1234.036333291913,793.0800262284977,1942.94896284112,503.18469523171706,642.0340692834425
FACT,8906.660841148243,9393.055953949077,14780.473523154042,12560.803274067739,6087.871598998781,16465.20953208748,8584.107113717999,13136.631844292497,12967.734897763023,8429.362191332484,6886.082041979985,12989.53522682959,9179.18835595483,9363.399547331674,9282.845350520629,7644.498781549268,9635.66209352229,13711.343976959879,10500.580656352362,9538.261583682088,10213.775685686389,9358.288777530079,0.0,8014.8303514408435,11472.045420118653,10410.637422820557,10009.776088175524,8579.965571388671,10399.864784061421,9522.742717702058,11195.351682199891,8867.258411800965,9586.034315842975
LGAV,1521.438716868451,1815.8370182307754,9532.669034889863,7932.455806289573,9730.98460712888,9800.56504320369,2377.4313326404604,8127.399159836934,7607.430542904929,552.3631359390542,11725.05562218717,8557.446927892031,1517.8783303811158,2108.8935232724316,4983.851376266188,3271.3092464029237,1823.2230335509435,11295.07456624003,2489.6794411140104,2101.487122926399,2848.2113604641363,1555.754332455913,8014.8303514408435,0.0,4176.891888856657,2452.3533525122343,2875.9209801847924,2870.399397724636,2389.0689513250063,2161.2853740484825,3184.843224387242,1084.793589115557,2089.016063229445
BIKF,2789.8815830930635,2379.55963806095,8798.321608971684,4197.785190963327,9842.304164811861,5701.731716788582,2888.0069315874402,4202.689344520942,7870.884193010363,4087.246738830808,11460.844970957083,8956.580903846041,2669.2628149565803,2225.1176543641695,7593.777972803409,6885.950773003389,2379.1423258300797,7447.576134836068,2409.583253800543,2128.9170434945413,1366.1622281126076,2628.101221542469,11472.045420118653,4176.891888856657,0.0,2109.0743457943413,1486.395041095137,2942.307926147029,2454.7484880957145,2102.4846976713584,2177.0499490729367,3094.6660800724226,2117.6234281227908
ESSA,1675.0268443034151,1222.987175365273,8170.395509786672,6291.593874633475,10709.342326685113,7411.6744673739295,2601.3493707511634,6311.706893929508,6691.864080722933,2177.481833179683,12598.548940741373,7780.26414951412,1317.3110466843007,1539.1555178390888,5583.875141564338,4784.718435844448,838.7723740907484,9555.32776316363,398.5689357775947,1287.8123921554281,1320.2510546542144,1086.9490092945773,10410.637422820557,2452.3533525122343,2109.0743457943413,0.0,1624.7526881721867,2998.3052371348076,389.62412735087645,1375.4704625714714,863.3297003586031,1551.7236859844388,1201.790094986564
EIDW,1381.192654254011,1086.8940196113897,9590.00408587783,5102.730002183939,9192.749867185408,7164.329817709851,1454.225118962622,5259.66456365284,8268.747197889683,2924.4683551417634,11025.405820274522,9364.445984146492,1381.2860601870107,784.9693369031335,7074.36258815461,5918.191105076748,1308.440821698761,8465.097546487645,2023.288540062737,784.4652218415466,337.2039534199319,1454.9163652752302,10009.776088175524,2875.9209801847924,1486.395041095137,1624.7526881721867,0.0,1642.4746695558613,2002.9192181397093,715.1697675357511,2262.6890021087634,1812.1546193462373,818.4419646564614
LPPT,1650.4062874119006,1873.84706028188,11153.913596141403,5404.309620041176,7714.979604082941,8288.503867714651,512.8845584370001,5739.078245285105,9657.682879314776,3211.7174335800105,9632.30052917482,10730.78496714352,1983.6079398270863,1469.9632862919395,7767.803301105655,6137.549256169119,2302.6857424820937,8664.536583495246,3363.876975912895,1717.441913766903,1956.1303624433278,2228.9079544309607,8579.965571388671,2870.399397724636,2942.307926147029,2998.3052371348076,1642.4746695558613,0.0,3307.6755735702613,1624.5352370256298,3783.3341214037023,2202.428641890457,1804.6765643174188
EETN,1870.2436430922335,1467.8755620952131,7898.436176812024,6649.356410602336,11021.75343361116,7595.2331088364135,2883.3149200833927,6650.662663103135,6357.094712899396,2037.0282863908224,12932.640473630083,7439.701976930367,1491.5970050572942,1837.8392888325443,5200.6264450305825,4471.733222742804,1043.7146044590377,9887.012309094367,100.72063567001045,1590.7996147657782,1705.517234342453,1234.036333291913,10399.864784061421,2389.0689513250063,2454.7484880957145,389.62412735087645,2002.9192181397093,3307.6755735702613,0.0,1686.475455041425,795.9448462888196,1628.0765988832688,1503.538739642221
LFQQ,689.0474073989398,392.7983156454291,9543.069153437295,5807.873795019511,9339.141101101264,7804.029472119836,1235.5813496072453,5973.892370679363,8042.99692176469,2221.5840343980844,11246.712767060582,9123.256093925884,673.6101624423094,177.29972762352907,6501.080434257892,5233.556863398388,737.3544487142678,9172.519686277623,1739.9740827336304,104.17464565809286,736.7464462666057,793.0800262284977,9522.742717702058,2161.2853740484825,2102.4846976713584,1375.4704625714714,715.1697675357511,1624.5352370256298,1686.475455041425,0.0,2186.4196889276245,1099.1833149167103,187.09147772320674
EFRO,2538.132936085888,2079.668281738598,7370.85294938375,6318.434484589655,11451.376242794004,6878.634761429539,3422.0000222935455,6243.416783834656,6013.908578937793,2818.8505107888336,13282.900559270385,7111.796723483437,2179.5591456309016,2358.800861619531,5439.118104243794,5027.306459147683,1701.8548750228817,9429.19591909452,695.2573510545288,2109.419990192777,1927.0385770142573,1942.94896284112,11195.351682199891,3184.843224387242,2177.0499490729367,863.3297003586031,2262.6890021087634,3783.3341214037023,795.9448462888196,2186.4196889276245,0.0,2385.7771646126907,2026.9394149057935
LDZA,571.2976495991094,734.44155732098,9373.225157229546,6905.329783235579,9684.845164511811,8746.620493868128,1692.5382745319923,7071.777341214486,7637.516242212898,1135.558870168953,11662.142744355435,8670.244773563427,435.372805823521,1079.12295434704,5589.209484397878,4162.586440529364,784.5721209488278,10270.57949825156,1722.928893753889,1028.9384999379752,1764.554368661314,503.18469523171706,8867.258411800965,1084.793589115557,3094.6660800724226,1551.7236859844388,1812.1546193462373,2202.428641890457,1628.0765988832688,1099.1833149167103,2385.7771646126907,0.0,1008.7302268245519
EHEH,692.3835754883867,274.34672759363383,9372.118080501896,5920.872953839785,9519.607478719365,7809.899033180775,1400.4404453661639,6069.742465228985,7858.784279958065,2107.001771303601,11430.931607617464,8938.065932826861,573.3926461914037,337.5067385741307,6331.400341379829,5102.345397401615,554.9586303035887,9282.302300217629,1559.3618854820566,87.26507901126318,761.9890447440483,642.0340692834425,9586.034315842975,2089.016063229445,2117.6234281227908,1201.790094986564,818.4419646564614,1804.6765643174188,1503.538739642221,187.09147772320674,2026.9394149057935,1008.7302268245519,0.0
