,LIME,CYYZ,KJFK,RJAA,VIDP,LFPG,EDDT,ZBAA,MMMX,SBGL,EDDM,OMDB,EDDF,LTFM,CYVR,SAEZ,ZSPD,LEMD,EETN,EBBR,ESSA,EGPH,LDZA,EHEH,LFQQ,BIKF,LPPT,LKPR,EIDW,LGAV,EFRO,EFHK,FACT
ESSA,1647.7243899240607,6311.706893929508,6291.593874633475,8170.395509786672,5583.875141564338,1539.1555178390888,838.7723740907484,6691.864080722933,9555.32776316363,10709.342326685113,1317.3110466843007,4784.718435844448,1222.987175365273,2177.481833179683,7411.6744673739295,12598.548940741373,7780.26414951412,2601.3493707511634,389.62412735087645,1287.8123921554281,0.0,1320.2510546542144,1551.7236859844388,1201.790094986564,1375.4704625714714,2109.0743457943413,2998.3052371348076,1086.9490092945773,1624.7526881721867,2452.3533525122343,863.3297003586031,398.5689357775947,10410.637422820557
EGPH,1461.4919162938756,5342.430556810266,5224.818687727301,9254.53199963534,6836.246415386642,868.6768639079258,1142.604257606154,7936.25672217657,8573.011598267407,9529.814395113926,1330.3366233869128,5776.784700011543,1032.8584656977316,2830.767342771072,7067.373027293543,11358.623493704585,9032.685343726816,1721.1421621023853,1705.517234342453,764.8529460052239,1320.2510546542144,0.0,1764.554368661314,761.9890447440483,736.7464462666057,1366.1622281126076,1956.1303624433278,1341.4084262122346,337.2039534199319,2848.2113604641363,1927.0385770142573,1717.6968421996937,10213.775685686389
LDZA,494.3715279576347,7071.777341214486,6905.329783235579,9373.225157229546,5589.209484397878,1079.12295434704,784.5721209488278,7637.516242212898,10270.57949825156,9684.845164511811,435.372805823521,4162.586440529364,734.44155732098,1135.558870168953,8746.620493868128,11662.142744355435,8670.244773563427,1692.5382745319923,1628.0765988832688,1028.9384999379752,1551.7236859844388,1764.554368661314,0.0,1008.7302268245519,1099.1833149167103,3094.6660800724226,2202.428641890457,503.18469523171706,1812.1546193462373,1084.793589115557,2385.7771646126907,1722.928893753889,8867.258411800965
EHEH,716.9528370522909,6069.742465228985,5920.872953839785,9372.118080501896,6331.400341379829,337.5067385741307,554.9586303035887,7858.784279958065,9282.302300217629,9519.607478719365,573.3926461914037,5102.345397401615,274.34672759363383,2107.001771303601,7809.899033180775,11430.931607617464,8938.065932826861,1400.4404453661639,1503.538739642221,87.26507901126318,1201.790094986564,761.9890447440483,1008.7302268245519,0.0,187.09147772320674,2117.6234281227908,1804.6765643174188,642.0340692834425,818.4419646564614,2089.016063229445,2026.9394149057935,1559.3618854820566,9586.034315842975
LFQQ,731.8948304163779,5973.892370679363,5807.873795019511,9543.069153437295,6501.080434257892,177.29972762352907,737.3544487142678,8042.99692176469,9172.519686277623,9339.141101101264,673.6101624423094,5233.556863398388,392.7983156454291,2221.5840343980844,7804.029472119836,11246.712767060582,9123.256093925884,1235.5813496072453,1686.475455041425,104.17464565809286,1375.4704625714714,736.7464462666057,1099.1833149167103,187.09147772320674,0.0,2102.4846976713584,1624.5352370256298,793.0800262284977,715.1697675357511,2161.2853740484825,2186.4196889276245,1739.9740827336304,9522.742717702058
BIKF,2826.491908642492,4202.689344520942,4197.785190963327,8798.321608971684,7593.777972803409,2225.1176543641695,2379.1423258300797,7870.884193010363,7447.576134836068,9842.304164811861,2669.2628149565803,6885.950773003389,2379.55963806095,4087.246738830808,5701.731716788582,11460.844970957083,8956.580903846041,2888.0069315874402,2454.7484880957145,2128.9170434945413,2109.0743457943413,1366.1622281126076,3094.6660800724226,2117.6234281227908,2102.4846976713584,0.0,2942.307926147029,2628.101221542469,1486.395041095137,4176.891888856657,2177.0499490729367,2409.583253800543,11472.045420118653
LPPT,1724.0154738241492,5739.078245285105,5404.309620041176,11153.913596141403,7767.803301105655,1469.9632862919395,2302.6857424820937,9657.682879314776,8664.536583495246,7714.979604082941,1983.6079398270863,6137.549256169119,1873.84706028188,3211.7174335800105,8288.503867714651,9632.30052917482,10730.78496714352,512.8845584370001,3307.6755735702613,1717.441913766903,2998.3052371348076,1956.1303624433278,2202.428641890457,1804.6765643174188,1624.5352370256298,2942.307926147029,0.0,2228.9079544309607,1642.4746695558613,2870.399397724636,3783.3341214037023,3363.876975912895,8579.965571388671
LKPR,598.695349516173,6682.817209516884,6550.828678253268,9102.009097801203,5714.970423703678,852.6058359792816,281.576913555292,7461.550939385754,9907.578033808217,9879.080082772547,264.80111614065527,4463.278821580964,406.27801971921986,1489.3589955451396,8252.779547259795,11830.92337423204,8520.514010353765,1750.6615229202562,1234.036333291913,696.6701556393344,1086.9490092945773,1341.4084262122346,503.18469523171706,642.0340692834425,793.0800262284977,2628.101221542469,2228.9079544309607,0.0,1454.9163652752302,1555.754332455913,1942.94896284112,1319.6263258874899,9358.288777530079
EIDW,1433.663567238871,5259.66456365284,5102.730002183939,9590.00408587783,7074.36258815461,784.9693369031335,1308.440821698761,8268.747197889683,8465.097546487645,9192.749867185408,1381.2860601870107,5918.191105076748,1086.8940196113897,2924.4683551417634,7164.329817709851,11025.405820274522,9364.445984146492,1454.225118962622,2002.9192181397093,784.4652218415466,1624.7526881721867,337.2039534199319,1812.1546193462373,818.4419646564614,715.1697675357511,1486.395041095137,1642.4746695558613,1454.9163652752302,0.0,2875.9209801847924,2262.6890021087634,2023.288540062737,10009.776088175524
LGAV,1457.2765076695869,8127.399159836934,7932.455806289573,9532.669034889863,4983.851376266188,2108.8935232724316,1823.2230335509435,7607.430542904929,11295.07456624003,9730.98460712888,1517.8783303811158,3271.3092464029237,1815.8370182307754,552.3631359390542,9800.56504320369,11725.05562218717,8557.446927892031,2377.4313326404604,2389.0689513250063,2101.487122926399,2452.3533525122343,2848.2113604641363,1084.793589115557,2089.016063229445,2161.2853740484825,4176.891888856657,2870.399397724636,1555.754332455913,2875.9209801847924,0.0,3184.843224387242,2489.6794411140104,8014.8303514408435
EFRO,2510.9812975034515,6243.416783834656,6318.434484589655,7370.85294938375,5439.118104243794,2358.800861619531,1701.8548750228817,6013.908578937793,9429.19591909452,11451.376242794004,2179.5591456309016,5027.306459147683,2079.668281738598,2818.8505107888336,6878.634761429539,13282.900559270385,7111.796723483437,3422.0000222935455,795.9448462888196,2109.419990192777,863.3297003586031,1927.0385770142573,2385.7771646126907,2026.9394149057935,2186.4196889276245,2177.0499490729367,3783.3341214037023,1942.94896284112,2262.6890021087634,3184.843224387242,0.0,695.2573510545288,11195.351682199891
EFHK,1912.2938553387621,6598.71606358994,6606.914800539541,7828.74735963798,5223.847444426262,1895.5582344575273,1118.8430222369009,6308.537771925007,9830.89999106367,11078.85214073269,1574.5399279099283,4537.025110362885,1537.9389925099097,2134.8799157182702,7505.149627195536,12981.387744901565,7393.997300475772,2947.4320721225527,100.72063567001045,1646.5424706420476,398.5689357775947,1717.6968421996937,1722.928893753889,1559.3618854820566,1739.9740827336304,2409.583253800543,3363.876975912895,1319.6263258874899,2023.288540062737,2489.6794411140104,695.2573510545288,0.0,10500.580656352362
FACT,8900.787773541293,13136.631844292497,12560.803274067739,14780.473523154042,9282.845350520629,9363.399547331674,9635.66209352229,12967.734897763023,13711.343976959879,6087.871598998781,9179.18835595483,7644.498781549268,9393.055953949077,8429.362191332484,16465.20953208748,6886.082041979985,12989.53522682959,8584.107113717999,10399.864784061421,9538.261583682088,10410.637422820557,10213.775685686389,8867.258411800965,9586.034315842975,9522.742717702058,11472.045420118653,8579.965571388671,9358.288777530079,10009.776088175524,8014.8303514408435,11195.351682199891,10500.580656352362,0.0
