,LIRF,LEMD,VIDP,MMMX,LFPG,ZBAA,ZSPD,EDDF,RJAA,KJFK,SBGL,LTFM,CYVR,EDDM,CYYZ,SAEZ,EDDT,OMDB,EGPH,LDZA,EETN,FACT,LGAV,LPPT,EIDW,EFRO,EFHK,EBBR,ESSA,EHEH,LKPR,LFQQ,BIKF
EETN,2144.7432662773303,2883.3149200833927,5200.6264450305825,9887.012309094367,1837.8392888325443,6357.094712899396,7439.701976930367,1467.8755620952131,7898.436176812024,6649.356410602336,11021.75343361116,2037.0282863908224,7595.2331088364135,1491.5970050572942,6650.662663103135,12932.640473630083,1043.7146044590377,4471.733222742804,1705.517234342453,1628.0765988832688,0.0,10399.864784061421,2389.0689513250063,3307.6755735702613,2002.9192181397093,795.9448462888196,100.72063567001045,1590.7996147657782,389.62412735087645,1503.538739642221,1234.036333291913,1686.475455041425,2454.7484880957145
FACT,8447.492147870096,8584.107113717999,9282.845350520629,13711.343976959879,9363.399547331674,12967.734897763023,12989.53522682959,9393.055953949077,14780.473523154042,12560.803274067739,6087.871598998781,8429.362191332484,16465.20953208748,9179.18835595483,13136.631844292497,6886.082041979985,9635.66209352229,7644.498781549268,10213.775685686389,8867.258411800965,10399.864784061421,0.0,8014.8303514408435,8579.965571388671,10009.776088175524,11195.351682199891,10500.580656352362,9538.261583682088,10410.637422820557,9586.034315842975,9358.288777530079,9522.742717702058,11472.045420118653
LGAV,1085.5162109803623,2377.4313326404604,4983.851376266188,11295.07456624003,2108.8935232724316,7607.430542904929,8557.446927892031,1815.8370182307754,9532.669034889863,7932.455806289573,9730.98460712888,552.3631359390542,9800.56504320369,1517.8783303811158,8127.399159836934,11725.05562218717,1823.2230335509435,3271.3092464029237,2848.2113604641363,1084.793589115557,2389.0689513250063,8014.8303514408435,0.0,2870.399397724636,2875.9209801847924,3184.843224387242,2489.6794411140104,2101.487122926399,2452.3533525122343,2089.016063229445,1555.754332455913,2161.2853740484825,4176.891888856657
LPPT,1838.6369514241565,512.8845584370001,7767.803301105655,8664.536583495246,1469.9632862919395,9657.682879314776,10730.78496714352,1873.84706028188,11153.913596141403,5404.309620041176,7714.979604082941,3211.7174335800105,8288.503867714651,1983.6079398270863,5739.078245285105,9632.30052917482,2302.6857424820937,6137.549256169119,1956.1303624433278,2202.428641890457,3307.6755735702613,8579.965571388671,2870.399397724636,0.0,1642.4746695558613,3783.3341214037023,3363.876975912895,1717.441913766903,2998.3052371348076,1804.6765643174188,2228.9079544309607,1624.5352370256298,2942.307926147029
EIDW,1887.877045473529,1454.225118962622,7074.36258815461,8465.097546487645,784.9693369031335,8268.747197889683,9364.445984146492,1086.8940196113897,9590.00408587783,5102.730002183939,9192.749867185408,2924.4683551417634,7164.329817709851,1381.2860601870107,5259.66456365284,11025.405820274522,1308.440821698761,5918.191105076748,337.2039534199319,1812.1546193462373,2002.9192181397093,10009.776088175524,2875.9209801847924,1642.4746695558613,0.0,2262.6890021087634,2023.288540062737,784.4652218415466,1624.7526881721867,818.4419646564614,1454.9163652752302,715.1697675357511,1486.395041095137
EFRO,2879.518914006426,3422.0000222935455,5439.118104243794,9429.19591909452,2358.800861619531,6013.908578937793,7111.796723483437,2079.668281738598,7370.85294938375,6318.434484589655,11451.376242794004,2818.8505107888336,6878.634761429539,2179.5591456309016,6243.416783834656,13282.900559270385,1701.8548750228817,5027.306459147683,1927.0385770142573,2385.7771646126907,795.9448462888196,11195.351682199891,3184.843224387242,3783.3341214037023,2262.6890021087634,0.0,695.2573510545288,2109.419990192777,863.3297003586031,2026.9394149057935,1942.94896284112,2186.4196889276245,2177.0499490729367
EFHK,2236.527853659462,2947.4320721225527,5223.847444426262,9830.89999106367,1895.5582344575273,6308.537771925007,7393.997300475772,1537.9389925099097,7828.74735963798,6606.914800539541,11078.85214073269,2134.8799157182702,7505.149627195536,1574.5399279099283,6598.71606358994,12981.387744901565,1118.8430222369009,4537.025110362885,1717.6968421996937,1722.928893753889,100.72063567001045,10500.580656352362,2489.6794411140104,3363.876975912895,2023.288540062737,695.2573510545288,0.0,1646.5424706420476,398.5689357775947,1559.3618854820566,1319.6263258874899,1739.9740827336304,2409.583253800543
EBBR,1175.0465897459446,1315.552739483112,6399.817544030502,9248.791253224706,251.42649654422516,7945.907748157385,9024.973770238224,304.70667836915743,9457.890709909856,5885.3697807968165,9432.38980302497,2141.818322400416,7827.183480204533,596.828250612871,6043.2341631455665,11343.810900959297,633.1798423077714,5147.156165772344,764.8529460052239,1028.9384999379752,1590.7996147657782,9538.261583682088,2101.487122926399,1717.441913766903,784.4652218415466,2109.419990192777,1646.5424706420476,0.0,1287.8123921554281,87.26507901126318,696.6701556393344,104.17464565809286,2128.9170434945413
ESSA,2026.0100284147838,2601.3493707511634,5583.875141564338,9555.32776316363,1539.1555178390888,6691.864080722933,7780.26414951412,1222.987175365273,8170.395509786672,6291.593874633475,10709.342326685113,2177.481833179683,7411.6744673739295,1317.3110466843007,6311.706893929508,12598.548940741373,838.7723740907484,4784.718435844448,1320.2510546542144,1551.7236859844388,389.62412735087645,10410.637422820557,2452.3533525122343,2998.3052371348076,1624.7526881721867,863.3297003586031,398.5689357775947,1287.8123921554281,0.0,1201.790094986564,1086.9490092945773,1375.4704625714714,2109.0743457943413
EHEH,1195.6116672542362,1400.4404453661639,6331.400341379829,9282.302300217629,337.5067385741307,7858.784279958065,8938.065932826861,274.34672759363383,9372.118080501896,5920.872953839785,9519.607478719365,2107.001771303601,7809.899033180775,573.3926461914037,6069.742465228985,11430.931607617464,554.9586303035887,5102.345397401615,761.9890447440483,1008.7302268245519,1503.538739642221,9586.034315842975,2089.016063229445,1804.6765643174188,818.4419646564614,2026.9394149057935,1559.3618854820566,87.26507901126318,1201.790094986564,0.0,642.0340692834425,187.09147772320674,2117.6234281227908
LKPR,939.0896343890475,1750.6615229202562,5714.970423703678,9907.578033808217,852.6058359792816,7461.550939385754,8520.514010353765,406.27801971921986,9102.009097801203,6550.828678253268,9879.080082772547,1489.3589955451396,8252.779547259795,264.80111614065527,6682.817209516884,11830.92337423204,281.576913555292,4463.278821580964,1341.4084262122346,503.18469523171706,1234.036333291913,9358.288777530079,1555.754332455913,2228.9079544309607,1454.9163652752302,1942.94896284112,1319.6263258874899,696.6701556393344,1086.9490092945773,642.0340692834425,0.0,793.0800262284977,2628.101221542469
LFQQ,1202.6733084178702,1235.5813496072453,6501.080434257892,9172.519686277623,177.29972762352907,8042.99692176469,9123.256093925884,392.7983156454291,9543.069153437295,5807.873795019511,9339.141101101264,2221.5840343980844,7804.029472119836,673.6101624423094,5973.892370679363,11246.712767060582,737.3544487142678,5233.556863398388,736.7464462666057,1099.1833149167103,1686.475455041425,9522.742717702058,2161.2853740484825,1624.5352370256298,715.1697675357511,2186.4196889276245,1739.9740827336304,104.17464565809286,1375.4704625714714,187.09147772320674,793.0800262284977,0.0,2102.4846976713584
BIKF,3302.877772645817,2888.0069315874402,7593.777972803409,7447.576134836068,2225.1176543641695,7870.884193010363,8956.580903846041,2379.55963806095,8798.321608971684,4197.785190963327,9842.304164811861,4087.246738830808,5701.731716788582,2669.2628149565803,4202.689344520942,11460.844970957083,2379.1423258300797,6885.950773003389,1366.1622281126076,3094.6660800724226,2454.7484880957145,11472.045420118653,4176.891888856657,2942.307926147029,1486.395041095137,2177.0499490729367,2409.583253800543,2128.9170434945413,2109.0743457943413,2117.6234281227908,2628.101221542469,2102.4846976713584,0.0
