,LIMC,OMDB,SAEZ,LEMD,LFPG,VIDP,LTFM,CYYZ,MMMX,EDDT,EDDM,ZSPD,KJFK,EDDF,CYVR,RJAA,SBGL,ZBAA,LPPT,ESSA,EBBR,EHEH,LGAV,EIDW,EETN,LKPR,EFHK,LDZA,LFQQ,FACT,EFRO,EGPH,BIKF
EBBR,664.3952506566018,5147.156165772344,11343.810900959297,1315.552739483112,251.42649654422516,6399.817544030502,2141.818322400416,6043.2341631455665,9248.791253224706,633.1798423077714,596.828250612871,9024.973770238224,5885.3697807968165,304.70667836915743,7827.183480204533,9457.890709909856,9432.38980302497,7945.907748157385,1717.441913766903,1287.8123921554281,0.0,87.26507901126318,2101.487122926399,784.4652218415466,1590.7996147657782,696.6701556393344,1646.5424706420476,1028.9384999379752,104.17464565809286,9538.261583682088,2109.419990192777,764.8529460052239,2128.9170434945413
EHEH,692.3835754883867,5102.345397401615,11430.931607617464,1400.4404453661639,337.5067385741307,6331.400341379829,2107.001771303601,6069.742465228985,9282.302300217629,554.9586303035887,573.3926461914037,8938.065932826861,5920.872953839785,274.34672759363383,7809.899033180775,9372.118080501896,9519.607478719365,7858.784279958065,1804.6765643174188,1201.790094986564,87.26507901126318,0.0,2089.016063229445,818.4419646564614,1503.538739642221,642.0340692834425,1559.3618854820566,1008.7302268245519,187.09147772320674,9586.034315842975,2026.9394149057935,761.9890447440483,2117.6234281227908
LGAV,1521.438716868451,3271.3092464029237,11725.05562218717,2377.4313326404604,2108.8935232724316,4983.851376266188,552.3631359390542,8127.399159836934,11295.07456624003,1823.2230335509435,1517.8783303811158,8557.446927892031,7932.455806289573,1815.8370182307754,9800.56504320369,9532.669034889863,9730.98460712888,7607.430542904929,2870.399397724636,2452.3533525122343,2101.487122926399,2089.016063229445,0.0,2875.9209801847924,2389.0689513250063,1555.754332455913,2489.6794411140104,1084.793589115557,2161.2853740484825,8014.8303514408435,3184.843224387242,2848.2113604641363,4176.891888856657
EIDW,1381.192654254011,5918.191105076748,11025.405820274522,1454.225118962622,784.9693369031335,7074.36258815461,2924.4683551417634,5259.66456365284,8465.097546487645,1308.440821698761,1381.2860601870107,9364.445984146492,5102.730002183939,1086.8940196113897,7164.329817709851,9590.00408587783,9192.749867185408,8268.747197889683,1642.4746695558613,1624.7526881721867,784.4652218415466,818.4419646564614,2875.9209801847924,0.0,2002.9192181397093,1454.9163652752302,2023.288540062737,1812.1546193462373,715.1697675357511,10009.776088175524,2262.6890021087634,337.2039534199319,1486.395041095137
EETN,1870.2436430922335,4471.733222742804,12932.640473630083,2883.3149200833927,1837.8392888325443,5200.6264450305825,2037.0282863908224,6650.662663103135,9887.012309094367,1043.7146044590377,1491.5970050572942,7439.701976930367,6649.356410602336,1467.8755620952131,7595.2331088364135,7898.436176812024,11021.75343361116,6357.094712899396,3307.6755735702613,389.62412735087645,1590.7996147657782,1503.538739642221,2389.0689513250063,2002.9192181397093,0.0,1234.036333291913,100.72063567001045,1628.0765988832688,1686.475455041425,10399.864784061421,795.9448462888196,1705.517234342453,2454.7484880957145
LKPR,647.0153232599317,4463.278821580964,11830.92337423204,1750.6615229202562,852.6058359792816,5714.970423703678,1489.3589955451396,6682.817209516884,9907.578033808217,281.576913555292,264.80111614065527,8520.514010353765,6550.828678253268,406.27801971921986,8252.779547259795,9102.009097801203,9879.080082772547,7461.550939385754,2228.9079544309607,1086.9490092945773,696.6701556393344,642.0340692834425,1555.754332455913,1454.9163652752302,1234.036333291913,0.0,1319.6263258874899,503.18469523171706,793.0800262284977,9358.288777530079,1942.94896284112,1341.4084262122346,2628.101221542469
EFHK,1951.0929540754787,4537.025110362885,12981.387744901565,2947.4320721225527,1895.5582344575273,5223.847444426262,2134.8799157182702,6598.71606358994,9830.89999106367,1118.8430222369009,1574.5399279099283,7393.997300475772,6606.914800539541,1537.9389925099097,7505.149627195536,7828.74735963798,11078.85214073269,6308.537771925007,3363.876975912895,398.5689357775947,1646.5424706420476,1559.3618854820566,2489.6794411140104,2023.288540062737,100.72063567001045,1319.6263258874899,0.0,1722.928893753889,1739.9740827336304,10500.580656352362,695.2573510545288,1717.6968421996937,2409.583253800543
LDZA,571.2976495991094,4162.586440529364,11662.142744355435,1692.5382745319923,1079.12295434704,5589.209484397878,1135.558870168953,7071.777341214486,10270.57949825156,784.5721209488278,435.372805823521,8670.244773563427,6905.329783235579,734.44155732098,8746.620493868128,9373.225157229546,9684.845164511811,7637.516242212898,2202.428641890457,1551.7236859844388,1028.9384999379752,1008.7302268245519,1084.793589115557,1812.1546193462373,1628.0765988832688,503.18469523171706,1722.928893753889,0.0,1099.1833149167103,8867.258411800965,2385.7771646126907,1764.554368661314,3094.6660800724226
LFQQ,689.0474073989398,5233.556863398388,11246.712767060582,1235.5813496072453,177.29972762352907,6501.080434257892,2221.5840343980844,5973.892370679363,9172.519686277623,737.3544487142678,673.6101624423094,9123.256093925884,5807.873795019511,392.7983156454291,7804.029472119836,9543.069153437295,9339.141101101264,8042.99692176469,1624.5352370256298,1375.4704625714714,104.17464565809286,187.09147772320674,2161.2853740484825,715.1697675357511,1686.475455041425,793.0800262284977,1739.9740827336304,1099.1833149167103,0.0,9522.742717702058,2186.4196889276245,736.7464462666057,2102.4846976713584
FACT,8906.660841148243,7644.498781549268,6886.082041979985,8584.107113717999,9363.399547331674,9282.845350520629,8429.362191332484,13136.631844292497,13711.343976959879,9635.66209352229,9179.18835595483,12989.53522682959,12560.803274067739,9393.055953949077,16465.20953208748,14780.473523154042,6087.871598998781,12967.734897763023,8579.965571388671,10410.637422820557,9538.261583682088,9586.034315842975,8014.8303514408435,10009.776088175524,10399.864784061421,9358.288777530079,10500.580656352362,8867.258411800965,9522.742717702058,0.0,11195.351682199891,10213.775685686389,11472.045420118653
EFRO,2538.132936085888,5027.306459147683,13282.900559270385,3422.0000222935455,2358.800861619531,5439.118104243794,2818.8505107888336,6243.416783834656,9429.19591909452,1701.8548750228817,2179.5591456309016,7111.796723483437,6318.434484589655,2079.668281738598,6878.634761429539,7370.85294938375,11451.376242794004,6013.908578937793,3783.3341214037023,863.3297003586031,2109.419990192777,2026.9394149057935,3184.843224387242,2262.6890021087634,795.9448462888196,1942.94896284112,695.2573510545288,2385.7771646126907,2186.4196889276245,11195.351682199891,0.0,1927.0385770142573,2177.0499490729367
EGPH,1423.7549912527588,5776.784700011543,11358.623493704585,1721.1421621023853,868.6768639079258,6836.246415386642,2830.767342771072,5342.430556810266,8573.011598267407,1142.604257606154,1330.3366233869128,9032.685343726816,5224.818687727301,1032.8584656977316,7067.373027293543,9254.53199963534,9529.814395113926,7936.25672217657,1956.1303624433278,1320.2510546542144,764.8529460052239,761.9890447440483,2848.2113604641363,337.2039534199319,1705.517234342453,1341.4084262122346,1717.6968421996937,1764.554368661314,736.7464462666057,10213.775685686389,1927.0385770142573,0.0,1366.1622281126076
BIKF,2789.8815830930635,6885.950773003389,11460.844970957083,2888.0069315874402,2225.1176543641695,7593.777972803409,4087.246738830808,4202.689344520942,7447.576134836068,2379.1423258300797,2669.2628149565803,8956.580903846041,4197.785190963327,2379.55963806095,5701.731716788582,8798.321608971684,9842.304164811861,7870.884193010363,2942.307926147029,2109.0743457943413,2128.9170434945413,2117.6234281227908,4176.891888856657,1486.395041095137,2454.7484880957145,2628.101221542469,2409.583253800543,3094.6660800724226,2102.4846976713584,11472.045420118653,2177.0499490729367,1366.1622281126076,0.0
