,LIMC,ZBAA,MMMX,CYVR,EDDM,LFPG,OMDB,EDDT,LTFM,CYYZ,EDDF,SBGL,LEMD,ZSPD,KJFK,VIDP,RJAA,SAEZ,BIKF,EFHK,EIDW,EBBR,LPPT,LFQQ,EHEH,FACT,LDZA,EETN,EGPH,ESSA,LKPR,EFRO,LGAV
LFQQ,689.0474073989398,8042.99692176469,9172.519686277623,7804.029472119836,673.6101624423094,177.29972762352907,5233.556863398388,737.3544487142678,2221.5840343980844,5973.892370679363,392.7983156454291,9339.141101101264,1235.5813496072453,9123.256093925884,5807.873795019511,6501.080434257892,9543.069153437295,11246.712767060582,2102.4846976713584,1739.9740827336304,715.1697675357511,104.17464565809286,1624.5352370256298,0.0,187.09147772320674,9522.742717702058,1099.1833149167103,1686.475455041425,736.7464462666057,1375.4704625714714,793.0800262284977,2186.4196889276245,2161.2853740484825
EHEH,692.3835754883867,7858.784279958065,9282.302300217629,7809.899033180775,573.3926461914037,337.5067385741307,5102.345397401615,554.9586303035887,2107.001771303601,6069.742465228985,274.34672759363383,9519.607478719365,1400.4404453661639,8938.065932826861,5920.872953839785,6331.400341379829,9372.118080501896,11430.931607617464,2117.6234281227908,1559.3618854820566,818.4419646564614,87.26507901126318,1804.6765643174188,187.09147772320674,0.0,9586.034315842975,1008.7302268245519,1503.538739642221,761.9890447440483,1201.790094986564,642.0340692834425,2026.9394149057935,2089.016063229445
FACT,8906.660841148243,12967.734897763023,13711.343976959879,16465.20953208748,9179.18835595483,9363.399547331674,7644.498781549268,9635.66209352229,8429.362191332484,13136.631844292497,9393.055953949077,6087.871598998781,8584.107113717999,12989.53522682959,12560.803274067739,9282.845350520629,14780.473523154042,6886.082041979985,11472.045420118653,10500.580656352362,10009.776088175524,9538.261583682088,8579.965571388671,9522.742717702058,9586.034315842975,0.0,8867.258411800965,10399.864784061421,10213.775685686389,10410.637422820557,9358.288777530079,11195.351682199891,8014.8303514408435
LDZA,571.2976495991094,7637.516242212898,10270.57949825156,8746.620493868128,435.372805823521,1079.12295434704,4162.586440529364,784.5721209488278,1135.558870168953,7071.777341214486,734.44155732098,9684.845164511811,1692.5382745319923,8670.244773563427,6905.329783235579,5589.209484397878,9373.225157229546,11662.142744355435,3094.6660800724226,1722.928893753889,1812.1546193462373,1028.9384999379752,2202.428641890457,1099.1833149167103,1008.7302268245519,8867.258411800965,0.0,1628.0765988832688,1764.554368661314,1551.7236859844388,503.18469523171706,2385.7771646126907,1084.793589115557
EETN,1870.2436430922335,6357.094712899396,9887.012309094367,7595.2331088364135,1491.5970050572942,1837.8392888325443,4471.733222742804,1043.7146044590377,2037.0282863908224,6650.662663103135,1467.8755620952131,11021.75343361116,2883.3149200833927,7439.701976930367,6649.356410602336,5200.6264450305825,7898.436176812024,12932.640473630083,2454.7484880957145,100.72063567001045,2002.9192181397093,1590.7996147657782,3307.6755735702613,1686.475455041425,1503.538739642221,10399.864784061421,1628.0765988832688,0.0,1705.517234342453,389.62412735087645,1234.036333291913,795.9448462888196,2389.0689513250063
EGPH,1423.7549912527588,7936.25672217657,8573.011598267407,7067.373027293543,1330.3366233869128,868.6768639079258,5776.784700011543,1142.604257606154,2830.767342771072,5342.430556810266,1032.8584656977316,9529.814395113926,1721.1421621023853,9032.685343726816,5224.818687727301,6836.246415386642,9254.53199963534,11358.623493704585,1366.1622281126076,1717.6968421996937,337.2039534199319,764.8529460052239,1956.1303624433278,736.7464462666057,761.9890447440483,10213.775685686389,1764.554368661314,1705.517234342453,0.0,1320.2510546542144,1341.4084262122346,1927.0385770142573,2848.2113604641363
ESSA,1675.0268443034151,6691.864080722933,9555.32776316363,7411.6744673739295,1317.3110466843007,1539.1555178390888,4784.718435844448,838.7723740907484,2177.481833179683,6311.706893929508,1222.987175365273,10709.342326685113,2601.3493707511634,7780.26414951412,6291.593874633475,5583.875141564338,8170.395509786672,12598.548940741373,2109.0743457943413,398.5689357775947,1624.7526881721867,1287.8123921554281,2998.3052371348076,1375.4704625714714,1201.790094986564,10410.637422820557,1551.7236859844388,389.62412735087645,1320.2510546542144,0.0,1086.9490092945773,863.3297003586031,2452.3533525122343
LKPR,647.0153232599317,7461.550939385754,9907.578033808217,8252.779547259795,264.80111614065527,852.6058359792816,4463.278821580964,281.576913555292,1489.3589955451396,6682.817209516884,406.27801971921986,9879.080082772547,1750.6615229202562,8520.514010353765,6550.828678253268,5714.970423703678,9102.009097801203,11830.92337423204,2628.101221542469,1319.6263258874899,1454.9163652752302,696.6701556393344,2228.9079544309607,793.0800262284977,642.0340692834425,9358.288777530079,503.18469523171706,1234.036333291913,1341.4084262122346,1086.9490092945773,0.0,1942.94896284112,1555.754332455913
EFRO,2538.132936085888,6013.908578937793,9429.19591909452,6878.634761429539,2179.5591456309016,2358.800861619531,5027.306459147683,1701.8548750228817,2818.8505107888336,6243.416783834656,2079.668281738598,11451.376242794004,3422.0000222935455,7111.796723483437,6318.434484589655,5439.118104243794,7370.85294938375,13282.900559270385,2177.0499490729367,695.2573510545288,2262.6890021087634,2109.419990192777,3783.3341214037023,2186.4196889276245,2026.9394149057935,11195.351682199891,2385.7771646126907,795.9448462888196,1927.0385770142573,863.3297003586031,1942.94896284112,0.0,3184.843224387242
LGAV,1521.438716868451,7607.430542904929,11295.07456624003,9800.56504320369,1517.8783303811158,2108.8935232724316,3271.3092464029237,1823.2230335509435,552.3631359390542,8127.399159836934,1815.8370182307754,9730.98460712888,2377.4313326404604,8557.446927892031,7932.455806289573,4983.851376266188,9532.669034889863,11725.05562218717,4176.891888856657,2489.6794411140104,2875.9209801847924,2101.487122926399,2870.399397724636,2161.2853740484825,2089.016063229445,8014.8303514408435,1084.793589115557,2389.0689513250063,2848.2113604641363,2452.3533525122343,1555.754332455913,3184.843224387242,0.0
